ds,pred_rf,real,pred_prophet,pred_lstm
2016-12-01,5062.710888531455,4230.287425,5950.196050476758,
2016-12-02,4824.063237677227,4076.98892,5677.671436289173,
2016-12-05,4692.279669288487,4064.625,5437.069859172155,
2016-12-06,4595.379757139902,5301.00227,5508.418024140049,
2016-12-07,5109.471500572608,5545.273954545454,5121.023225247859,
2016-12-09,5599.022613388054,5713.601552941176,5209.117683151131,
2016-12-12,5708.014356321401,4911.240548275861,4912.748401742405,
2016-12-13,5259.088328715402,5348.054686842105,4987.155653995812,
2016-12-14,5431.658059787017,5504.145554054054,4612.801551671921,
2016-12-15,5780.744751109932,4910.95815862069,5035.598540516829,
2016-12-16,5113.65897951363,4688.33723939394,4752.757256827001,
2016-12-19,5062.358438702219,4824.379293548387,4577.3939557133945,
2016-12-20,5146.813396722391,5638.987618604651,4697.11198835248,
2016-12-21,5868.199416379637,5602.0391564102565,4367.725780550356,
2016-12-22,5685.752467379458,5977.546905555555,4833.530979458499,
2016-12-23,5727.0001604962945,5732.788392682927,4590.247213745344,
2016-12-26,6024.62068483435,5120.254041935484,4500.701253766645,
2016-12-27,5359.417689242863,4817.494787804878,4635.164388379077,
2016-12-28,5126.4083955041415,4501.372194871795,4312.781321988223,
2016-12-29,5044.365182035791,4269.6123161290325,4777.765177602138,
2016-12-30,4683.2560708258125,4815.193437837837,4526.0187826353595,
